CRIM,NOX,RM,RAD,PTRATIO,B,MEDV
0.00632,0.538,6.575,1.0,15.3,396.9,24.0
0.02731,0.469,6.421,2.0,17.8,396.9,21.6
0.02729,0.469,7.185,2.0,17.8,392.83,34.7
0.03237,0.458,6.998,3.0,18.7,394.63,33.4
0.06905,0.458,7.147,3.0,18.7,396.9,36.2
0.02985,0.458,6.43,3.0,18.7,394.12,28.7
0.08829,0.524,6.012,5.0,15.2,395.6,22.9
0.14455,0.524,6.172,5.0,15.2,396.9,27.1
0.21124,0.524,5.631,5.0,15.2,386.63,16.5
0.17004,0.524,6.004,5.0,15.2,386.71,18.9
0.22489,0.524,6.377,5.0,15.2,392.52,15.0
0.11747,0.524,6.009,5.0,15.2,396.9,18.9
0.09378,0.524,5.889,5.0,15.2,390.5,21.7
0.62976,0.538,5.949,4.0,21.0,396.9,20.4
0.63796,0.538,6.096,4.0,21.0,380.02,18.2
0.62739,0.538,5.834,4.0,21.0,395.62,19.9
1.05393,0.538,5.935,4.0,21.0,386.85,23.1
0.7842,0.538,5.99,4.0,21.0,386.75,17.5
0.80271,0.538,5.456,4.0,21.0,288.99,20.2
0.7258,0.538,5.727,4.0,21.0,390.95,18.2
1.25179,0.538,5.57,4.0,21.0,376.57,13.6
0.85204,0.538,5.965,4.0,21.0,392.53,19.6
1.23247,0.538,6.142,4.0,21.0,396.9,15.2
0.98843,0.538,5.813,4.0,21.0,394.54,14.5
0.75026,0.538,5.924,4.0,21.0,394.33,15.6
0.84054,0.538,5.599,4.0,21.0,303.42,13.9
0.67191,0.538,5.813,4.0,21.0,376.88,16.6
0.95577,0.538,6.047,4.0,21.0,306.38,14.8
0.77299,0.538,6.495,4.0,21.0,387.94,18.4
1.00245,0.538,6.674,4.0,21.0,380.23,21.0
1.13081,0.538,5.713,4.0,21.0,360.17,12.7
1.35472,0.538,6.072,4.0,21.0,376.73,14.5
1.38799,0.538,5.95,4.0,21.0,232.6,13.2
1.15172,0.538,5.701,4.0,21.0,358.77,13.1
1.61282,0.538,6.096,4.0,21.0,248.31,13.5
0.06417,0.499,5.933,5.0,19.2,396.9,18.9
0.09744,0.499,5.841,5.0,19.2,377.56,20.0
0.08014,0.499,5.85,5.0,19.2,396.9,21.0
0.17505,0.499,5.966,5.0,19.2,393.43,24.7
0.02763,0.428,6.595,3.0,18.3,395.63,30.8
0.03359,0.428,7.024,3.0,18.3,395.62,34.9
0.12744,0.448,6.77,3.0,17.9,385.41,26.6
0.1415,0.448,6.169,3.0,17.9,383.37,25.3
0.15936,0.448,6.211,3.0,17.9,394.46,24.7
0.12269,0.448,6.069,3.0,17.9,389.39,21.2
0.17142,0.448,5.682,3.0,17.9,396.9,19.3
0.18836,0.448,5.786,3.0,17.9,396.9,20.0
0.22927,0.448,6.03,3.0,17.9,392.74,16.6
0.25387,0.448,5.399,3.0,17.9,396.9,14.4
0.21977,0.448,5.602,3.0,17.9,396.9,19.4
0.08873,0.439,5.963,4.0,16.8,395.56,19.7
0.04337,0.439,6.115,4.0,16.8,393.97,20.5
0.0536,0.439,6.511,4.0,16.8,396.9,25.0
0.04981,0.439,5.998,4.0,16.8,396.9,23.4
0.0136,0.41,5.888,3.0,21.1,396.9,18.9
0.01311,0.403,7.249,5.0,17.9,395.93,35.4
0.02055,0.41,6.383,2.0,17.3,396.9,24.7
0.01432,0.411,6.816,5.0,15.1,392.9,31.6
0.15445,0.453,6.145,8.0,19.7,390.68,23.3
0.10328,0.453,5.927,8.0,19.7,396.9,19.6
0.14932,0.453,5.741,8.0,19.7,395.11,18.7
0.17171,0.453,5.966,8.0,19.7,378.08,16.0
0.11027,0.453,6.456,8.0,19.7,396.9,22.2
0.1265,0.453,6.762,8.0,19.7,395.58,25.0
0.01951,0.4161,7.104,3.0,18.6,393.24,33.0
0.03584,0.398,6.29,4.0,16.1,396.9,23.5
0.04379,0.398,5.787,4.0,16.1,396.9,19.4
0.05789,0.409,5.878,4.0,18.9,396.21,22.0
0.13554,0.409,5.594,4.0,18.9,396.9,17.4
0.12816,0.409,5.885,4.0,18.9,396.9,20.9
0.08826,0.413,6.417,4.0,19.2,383.73,24.2
0.15876,0.413,5.961,4.0,19.2,376.94,21.7
0.09164,0.413,6.065,4.0,19.2,390.91,22.8
0.19539,0.413,6.245,4.0,19.2,377.17,23.4
0.07896,0.437,6.273,5.0,18.7,394.92,24.1
0.09512,0.437,6.286,5.0,18.7,383.23,21.4
0.10153,0.437,6.279,5.0,18.7,373.66,20.0
0.08707,0.437,6.14,5.0,18.7,386.96,20.8
0.05646,0.437,6.232,5.0,18.7,386.4,21.2
0.08387,0.437,5.874,5.0,18.7,396.06,20.3
0.04113,0.426,6.727,4.0,19.0,396.9,28.0
0.04462,0.426,6.619,4.0,19.0,395.63,23.9
0.03659,0.426,6.302,4.0,19.0,396.9,24.8
0.03551,0.426,6.167,4.0,19.0,390.64,22.9
0.05059,0.449,6.389,3.0,18.5,396.9,23.9
0.05735,0.449,6.63,3.0,18.5,392.3,26.6
0.05188,0.449,6.015,3.0,18.5,395.99,22.5
0.07151,0.449,6.121,3.0,18.5,395.15,22.2
0.0566,0.489,7.007,2.0,17.8,396.9,23.6
0.05302,0.489,7.079,2.0,17.8,396.06,28.7
0.04684,0.489,6.417,2.0,17.8,392.18,22.6
0.03932,0.489,6.405,2.0,17.8,393.55,22.0
0.04203,0.464,6.442,4.0,18.2,395.01,22.9
0.02875,0.464,6.211,4.0,18.2,396.33,25.0
0.04294,0.464,6.249,4.0,18.2,396.9,20.6
0.12204,0.445,6.625,2.0,18.0,357.98,28.4
0.11504,0.445,6.163,2.0,18.0,391.83,21.4
0.12083,0.445,8.069,2.0,18.0,396.9,38.7
0.08187,0.445,7.82,2.0,18.0,393.53,43.8
0.0686,0.445,7.416,2.0,18.0,396.9,33.2
0.14866,0.52,6.727,5.0,20.9,394.76,27.5
