sex,race,age,two_year_recid,priors_count
1,0,34,1,0
1,0,24,1,4
1,1,41,1,14
0,1,39,0,0
1,1,21,1,1
1,1,27,0,0
1,0,23,1,3
0,1,37,0,0
1,0,41,0,0
0,1,47,1,1
1,0,31,1,7
1,0,25,0,3
1,1,31,1,6
1,1,31,1,5
1,0,64,1,13
1,0,21,1,1
1,1,27,1,0
0,1,21,0,0
1,1,43,0,1
1,0,27,1,8
0,1,36,0,3
1,0,26,1,5
1,0,33,1,0
1,1,30,1,9
1,0,32,1,4
1,1,55,0,0
1,1,26,0,6
0,1,33,1,4
1,1,24,1,1
1,0,34,1,21
1,1,29,0,0
0,0,21,0,2
1,0,51,0,2
1,1,29,1,2
0,0,51,0,7
1,0,29,1,0
1,1,25,1,9
1,0,35,1,13
1,1,49,0,0
1,0,34,1,4
1,0,29,0,0
1,1,29,1,1
1,1,48,1,20
1,0,31,0,15
1,0,24,1,2
1,0,49,0,4
1,1,53,0,8
1,0,35,0,5
1,0,63,1,10
1,0,27,1,15
1,1,38,1,4
1,0,22,1,1
1,0,22,1,2
1,0,29,1,4
1,0,27,1,6
0,0,56,0,0
1,0,39,0,1
1,0,29,1,5
1,1,27,1,1
1,0,40,0,2
1,0,22,1,1
1,1,22,0,0
0,0,26,1,1
1,1,27,1,1
1,0,32,0,0
1,0,41,0,1
1,0,30,1,8
1,0,25,1,14
1,0,22,1,2
1,0,23,1,2
0,0,35,0,1
1,0,36,1,9
1,1,26,1,7
1,1,25,1,9
0,1,20,0,0
1,1,39,1,2
1,1,66,0,3
0,1,54,0,0
1,0,19,1,1
1,0,24,0,1
1,0,30,0,1
0,1,39,1,0
1,1,24,1,8
1,1,30,0,0
1,1,31,0,0
0,1,39,0,1
1,0,59,1,14
1,1,43,0,1
1,0,21,1,3
1,1,38,1,5
1,1,34,0,0
1,0,33,1,5
1,0,37,0,3
1,1,42,1,1
1,0,41,1,10
1,0,22,1,0
1,0,33,1,28
1,0,31,0,1
1,1,31,1,13
1,0,27,1,3
1,0,56,0,8
1,1,52,0,3
1,0,33,1,19
0,1,64,0,2
1,1,22,1,4
1,1,42,0,6
0,1,25,0,2
1,1,30,0,1
1,1,28,1,0
0,0,24,0,0
0,1,29,1,10
1,1,44,1,2
1,0,32,1,3
1,1,31,1,2
1,0,31,0,1
1,1,59,1,1
0,0,20,0,1
0,1,43,0,0
1,0,38,1,9
1,0,32,1,11
1,0,33,1,8
0,0,31,1,0
0,0,33,1,7
1,0,27,1,2
0,0,20,0,0
0,1,26,0,0
0,0,61,1,1
0,0,32,1,4
0,0,26,1,2
1,0,55,0,3
1,1,39,0,1
0,1,30,1,3
1,0,30,0,1
1,1,48,0,2
1,0,22,0,1
1,1,46,1,6
0,1,49,0,6
1,1,31,0,0
1,0,25,1,1
0,0,32,0,5
1,0,62,0,8
0,1,37,0,6
1,1,55,0,1
1,0,28,1,6
1,1,78,1,1
1,1,56,0,0
1,0,38,1,22
1,0,22,1,1
1,0,47,1,23
1,0,23,1,0
0,1,38,1,2
1,0,66,0,3
1,1,45,1,8
1,0,32,1,13
1,0,37,1,2
1,1,39,1,0
1,0,26,1,9
1,1,45,0,2
1,0,23,1,0
1,0,34,0,2
0,0,23,0,1
1,1,50,0,1
